,prompt,completion
0,"This is a verse from the Holy Quran
""In the name of Allah""
 where its mention in the Holy quran?",(Quran 1:1)
1,"This is a verse from the Holy Quran
""Praise be to Allah""
 where its mention in the Holy quran?",(Quran 1:2)
2,"This is a verse from the Holy Quran
""Most Gracious""
 where its mention in the Holy quran?",(Quran 1:3)
3,"This is a verse from the Holy Quran
""Master of the Day of Judgment.""
 where its mention in the Holy quran?",(Quran 1:4)
4,"This is a verse from the Holy Quran
""Thee do we worship""
 where its mention in the Holy quran?",(Quran 1:5)
5,"This is a verse from the Holy Quran
""Show us the straight way""
 where its mention in the Holy quran?",(Quran 1:6)
6,"This is a verse from the Holy Quran
""The way of those on whom Thou hast bestowed Thy Grace""
 where its mention in the Holy quran?",(Quran 1:7)
7,"This is a verse from the Holy Quran
""A.L.M.""
 where its mention in the Holy quran?",(Quran 2:1)
8,"This is a verse from the Holy Quran
""This is the Book; in it is guidance sure""
 where its mention in the Holy quran?",(Quran 2:2)
9,"This is a verse from the Holy Quran
""Who believe in the Unseen""
 where its mention in the Holy quran?",(Quran 2:3)
10,"This is a verse from the Holy Quran
""And who believe in the Revelation sent to thee""
 where its mention in the Holy quran?",(Quran 2:4)
11,"This is a verse from the Holy Quran
""They are on (true) guidance""
 where its mention in the Holy quran?",(Quran 2:5)
12,"This is a verse from the Holy Quran
""As to those who reject Faith""
 where its mention in the Holy quran?",(Quran 2:6)
13,"This is a verse from the Holy Quran
""Allah hath set a seal on their hearts and on their hearing""
 where its mention in the Holy quran?",(Quran 2:7)
14,"This is a verse from the Holy Quran
""Of the people there are some who say: ""We believe in Allah and the Last Day;"" but they do not (really) believe.""
 where its mention in the Holy quran?",(Quran 2:8)
15,"This is a verse from the Holy Quran
""Fain would they deceive Allah and those who believe""
 where its mention in the Holy quran?",(Quran 2:9)
16,"This is a verse from the Holy Quran
""In their hearts is a disease; and Allah has increased their disease: And grievous is the penalty they (incur)""
 where its mention in the Holy quran?",(Quran 2:10)
17,"This is a verse from the Holy Quran
""When it is said to them: ""Make not mischief on the earth""
 where its mention in the Holy quran?",(Quran 2:11)
18,"This is a verse from the Holy Quran
""Of a surety""
 where its mention in the Holy quran?",(Quran 2:12)
19,"This is a verse from the Holy Quran
""When it is said to them: ""Believe as the others believe:"" They say: ""Shall we believe as the fools believe?"" Nay""
 where its mention in the Holy quran?",(Quran 2:13)
20,"This is a verse from the Holy Quran
""When they meet those who believe""
 where its mention in the Holy quran?",(Quran 2:14)
21,"This is a verse from the Holy Quran
""Allah will throw back their mockery on them""
 where its mention in the Holy quran?",(Quran 2:15)
22,"This is a verse from the Holy Quran
""These are they who have bartered Guidance for error: But their traffic is profitless""
 where its mention in the Holy quran?",(Quran 2:16)
23,"This is a verse from the Holy Quran
""Their similitude is that of a man who kindled a fire; when it lighted all around him""
 where its mention in the Holy quran?",(Quran 2:17)
24,"This is a verse from the Holy Quran
""Deaf""
 where its mention in the Holy quran?",(Quran 2:18)
25,"This is a verse from the Holy Quran
""Or (another similitude) is that of a rain-laden cloud from the sky: In it are zones of darkness""
 where its mention in the Holy quran?",(Quran 2:19)
26,"This is a verse from the Holy Quran
""The lightning all but snatches away their sight; every time the light (Helps) them""
 where its mention in the Holy quran?",(Quran 2:20)
27,"This is a verse from the Holy Quran
""O ye people! Adore your Guardian-Lord""
 where its mention in the Holy quran?",(Quran 2:21)
28,"This is a verse from the Holy Quran
""Who has made the earth your couch""
 where its mention in the Holy quran?",(Quran 2:22)
29,"This is a verse from the Holy Quran
""And if ye are in doubt as to what We have revealed from time to time to Our servant""
 where its mention in the Holy quran?",(Quran 2:23)
30,"This is a verse from the Holy Quran
""But if ye cannot- and of a surety ye cannot- then fear the Fire whose fuel is men and stones""
 where its mention in the Holy quran?",(Quran 2:24)
31,"This is a verse from the Holy Quran
""But give glad tidings to those who believe and work righteousness""
 where its mention in the Holy quran?",(Quran 2:25)
32,"This is a verse from the Holy Quran
""Those who break Allah�s Covenant after it is ratified""
 where its mention in the Holy quran?",(Quran 2:27)
33,"This is a verse from the Holy Quran
""How can ye reject the faith in Allah?- seeing that ye were without life""
 where its mention in the Holy quran?",(Quran 2:28)
34,"This is a verse from the Holy Quran
""It is He Who hath created for you all things that are on earth; Moreover His design comprehended the heavens""
 where its mention in the Holy quran?",(Quran 2:29)
35,"This is a verse from the Holy Quran
""Behold""
 where its mention in the Holy quran?",(Quran 2:30)
36,"This is a verse from the Holy Quran
""And He taught Adam the names of all things; then He placed them before the angels""
 where its mention in the Holy quran?",(Quran 2:31)
37,"This is a verse from the Holy Quran
""They said: ""Glory to Thee""
 where its mention in the Holy quran?",(Quran 2:32)
38,"This is a verse from the Holy Quran
""He said: ""O Adam! Tell them their names."" When he had told them""
 where its mention in the Holy quran?",(Quran 2:33)
39,"This is a verse from the Holy Quran
""And behold""
 where its mention in the Holy quran?",(Quran 2:34)
40,"This is a verse from the Holy Quran
""We said: ""O Adam! dwell thou and thy wife in the Garden; and eat of the bountiful things therein as (where and when) ye will; but approach not this tree""
 where its mention in the Holy quran?",(Quran 2:35)
41,"This is a verse from the Holy Quran
""Then did Satan make them slip from the (garden)""
 where its mention in the Holy quran?",(Quran 2:36)
42,"This is a verse from the Holy Quran
""Then learnt Adam from his Lord words of inspiration""
 where its mention in the Holy quran?",(Quran 2:37)
43,"This is a verse from the Holy Quran
""We said: ""Get ye down all from here; and if""
 where its mention in the Holy quran?",(Quran 2:38)
44,"This is a verse from the Holy Quran
""""But those who reject Faith and belie Our Signs""
 where its mention in the Holy quran?",(Quran 2:39)
45,"This is a verse from the Holy Quran
""O Children of Israel! call to mind the (special) favour which I bestowed upon you""
 where its mention in the Holy quran?",(Quran 2:40)
46,"This is a verse from the Holy Quran
""And believe in what I reveal""
 where its mention in the Holy quran?",(Quran 2:41)
47,"This is a verse from the Holy Quran
""And cover not Truth with falsehood""
 where its mention in the Holy quran?",(Quran 2:42)
48,"This is a verse from the Holy Quran
""And be steadfast in prayer; practise regular charity; and bow down your heads with those who bow down (in worship).""
 where its mention in the Holy quran?",(Quran 2:43)
49,"This is a verse from the Holy Quran
""Do ye enjoin right conduct on the people""
 where its mention in the Holy quran?",(Quran 2:44)
50,"This is a verse from the Holy Quran
""Nay""
 where its mention in the Holy quran?",(Quran 2:45)
51,"This is a verse from the Holy Quran
""Who bear in mind the certainty that they are to meet their Lord""
 where its mention in the Holy quran?",(Quran 2:46)
52,"This is a verse from the Holy Quran
""Children of Israel! call to mind the (special) favour which I bestowed upon you""
 where its mention in the Holy quran?",(Quran 2:47)
53,"This is a verse from the Holy Quran
""Then guard yourselves against a day when one soul shall not avail another nor shall intercession be accepted for her""
 where its mention in the Holy quran?",(Quran 2:48)
54,"This is a verse from the Holy Quran
""And remember""
 where its mention in the Holy quran?",(Quran 2:49)
55,"This is a verse from the Holy Quran
""And remember We divided the sea for you and saved you and drowned Pharaoh�s people within your very sight.""
 where its mention in the Holy quran?",(Quran 2:50)
56,"This is a verse from the Holy Quran
""And remember We appointed forty nights for Moses""
 where its mention in the Holy quran?",(Quran 2:51)
57,"This is a verse from the Holy Quran
""Even then We did forgive you; there was a chance for you to be grateful.""
 where its mention in the Holy quran?",(Quran 2:52)
58,"This is a verse from the Holy Quran
""And remember We gave Moses the Scripture and the Criterion (Between right and wrong): There was a chance for you to be guided aright.""
 where its mention in the Holy quran?",(Quran 2:53)
59,"This is a verse from the Holy Quran
""And remember Moses said to his people: ""O my people! Ye have indeed wronged yourselves by your worship of the calf: So turn (in repentance) to your Maker""
 where its mention in the Holy quran?",(Quran 2:54)
60,"This is a verse from the Holy Quran
""And remember ye said: ""O Moses! We shall never believe in thee until we see Allah manifestly""
 where its mention in the Holy quran?",(Quran 2:55)
61,"This is a verse from the Holy Quran
""And remember We said: ""Enter this town""
 where its mention in the Holy quran?",(Quran 2:58)
62,"This is a verse from the Holy Quran
""But the transgressors changed the word from that which had been given them; so We sent on the transgressors a plague from heaven""
 where its mention in the Holy quran?",(Quran 2:59)
63,"This is a verse from the Holy Quran
""And remember Moses prayed for water for his people; We said: ""Strike the rock with thy staff."" Then gushed forth therefrom twelve springs. Each group knew its own place for water. So eat and drink of the sustenance provided by Allah""
 where its mention in the Holy quran?",(Quran 2:60)
64,"This is a verse from the Holy Quran
""And remember ye said: ""O Moses! we cannot endure one kind of food (always); so beseech thy Lord for us to produce for us of what the earth groweth""
 where its mention in the Holy quran?",(Quran 2:61)
65,"This is a verse from the Holy Quran
""Those who believe (in the Qur�an)""
 where its mention in the Holy quran?",(Quran 2:62)
66,"This is a verse from the Holy Quran
""And remember We took your covenant and We raised above you (The towering height) of Mount (Sinai) : (Saying): ""Hold firmly to what We have given you and bring (ever) to remembrance what is therein: Perchance ye may fear Allah.""""
 where its mention in the Holy quran?",(Quran 2:63)
67,"This is a verse from the Holy Quran
""But ye turned back thereafter: Had it not been for the Grace and Mercy of Allah to you""
 where its mention in the Holy quran?",(Quran 2:64)
68,"This is a verse from the Holy Quran
""And well ye knew those amongst you who transgressed in the matter of the Sabbath: We said to them: ""Be ye apes""
 where its mention in the Holy quran?",(Quran 2:65)
69,"This is a verse from the Holy Quran
""So We made it an example to their own time and to their posterity""
 where its mention in the Holy quran?",(Quran 2:66)
70,"This is a verse from the Holy Quran
""And remember Moses said to his people: ""Allah commands that ye sacrifice a heifer."" They said: ""Makest thou a laughing-stock of us?"" He said: ""Allah save me from being an ignorant (fool)!""""
 where its mention in the Holy quran?",(Quran 2:67)
71,"This is a verse from the Holy Quran
""They said: ""Beseech on our behalf Thy Lord to make plain to us what (heifer) it is!"" He said; ""He says: The heifer should be neither too old nor too young""
 where its mention in the Holy quran?",(Quran 2:68)
72,"This is a verse from the Holy Quran
""They said: ""Beseech on our behalf Thy Lord to make plain to us Her colour."" He said: ""He says: A fawn-coloured heifer""
 where its mention in the Holy quran?",(Quran 2:69)
73,"This is a verse from the Holy Quran
""They said: ""Beseech on our behalf Thy Lord to make plain to us what she is: To us are all heifers alike: We wish indeed for guidance""
 where its mention in the Holy quran?",(Quran 2:70)
74,"This is a verse from the Holy Quran
""He said: ""He says: A heifer not trained to till the soil or water the fields; sound and without blemish."" They said: ""Now hast thou brought the truth."" Then they offered her in sacrifice""
 where its mention in the Holy quran?",(Quran 2:71)
75,"This is a verse from the Holy Quran
""Remember ye slew a man and fell into a dispute among yourselves as to the crime: But Allah was to bring forth what ye did hide.""
 where its mention in the Holy quran?",(Quran 2:72)
76,"This is a verse from the Holy Quran
""So We said: ""Strike the (body) with a piece of the (heifer)."" Thus Allah bringeth the dead to life and showeth you His Signs: Perchance ye may understand.""
 where its mention in the Holy quran?",(Quran 2:73)
77,"This is a verse from the Holy Quran
""Thenceforth were your hearts hardened: They became like a rock and even worse in hardness. For among rocks there are some from which rivers gush forth; others there are which when split asunder send forth water; and others which sink for fear of Allah. And Allah is not unmindful of what ye do.""
 where its mention in the Holy quran?",(Quran 2:74)
78,"This is a verse from the Holy Quran
""Can ye (o ye men of Faith) entertain the hope that they will believe in you?- Seeing that a party of them heard the Word of Allah""
 where its mention in the Holy quran?",(Quran 2:75)
79,"This is a verse from the Holy Quran
""Behold! when they meet the men of Faith""
 where its mention in the Holy quran?",(Quran 2:76)
80,"This is a verse from the Holy Quran
""Know they not that Allah knoweth what they conceal and what they reveal?""
 where its mention in the Holy quran?",(Quran 2:77)
81,"This is a verse from the Holy Quran
""And there are among them illiterates""
 where its mention in the Holy quran?",(Quran 2:78)
82,"This is a verse from the Holy Quran
""Then woe to those who write the Book with their own hands""
 where its mention in the Holy quran?",(Quran 2:79)
83,"This is a verse from the Holy Quran
""Nay""
 where its mention in the Holy quran?",(Quran 2:81)
84,"This is a verse from the Holy Quran
""But those who have faith and work righteousness""
 where its mention in the Holy quran?",(Quran 2:82)
85,"This is a verse from the Holy Quran
""And remember We took a covenant from the Children of Israel (to this effect): Worship none but Allah; treat with kindness your parents and kindred""
 where its mention in the Holy quran?",(Quran 2:83)
86,"This is a verse from the Holy Quran
""And remember We took your covenant (to this effect): Shed no blood amongst you""
 where its mention in the Holy quran?",(Quran 2:84)
87,"This is a verse from the Holy Quran
""After this it is ye""
 where its mention in the Holy quran?",(Quran 2:85)
88,"This is a verse from the Holy Quran
""These are the people who buy the life of this world at the price of the Hereafter: their penalty shall not be lightened nor shall they be helped.""
 where its mention in the Holy quran?",(Quran 2:86)
89,"This is a verse from the Holy Quran
""We gave Moses the Book and followed him up with a succession of messengers; We gave Jesus the son of Mary Clear (Signs) and strengthened him with the holy spirit. Is it that whenever there comes to you a messenger with what ye yourselves desire not""
 where its mention in the Holy quran?",(Quran 2:87)
90,"This is a verse from the Holy Quran
""They say""
 where its mention in the Holy quran?",(Quran 2:88)
91,"This is a verse from the Holy Quran
""And when there comes to them a Book from Allah""
 where its mention in the Holy quran?",(Quran 2:89)
92,"This is a verse from the Holy Quran
""Miserable is the price for which they have sold their souls""
 where its mention in the Holy quran?",(Quran 2:90)
93,"This is a verse from the Holy Quran
""When it is said to them""
 where its mention in the Holy quran?",(Quran 2:91)
94,"This is a verse from the Holy Quran
""There came to you Moses with clear (Signs); yet ye worshipped the calf (Even) after that""
 where its mention in the Holy quran?",(Quran 2:92)
95,"This is a verse from the Holy Quran
""And remember We took your covenant and We raised above you (the towering height) of Mount (Sinai): (Saying): ""Hold firmly to what We have given you""
 where its mention in the Holy quran?",(Quran 2:93)
96,"This is a verse from the Holy Quran
""Say: ""If the last Home""
 where its mention in the Holy quran?",(Quran 2:94)
97,"This is a verse from the Holy Quran
""But they will never seek for death""
 where its mention in the Holy quran?",(Quran 2:95)
98,"This is a verse from the Holy Quran
""Thou wilt indeed find them""
 where its mention in the Holy quran?",(Quran 2:96)
99,"This is a verse from the Holy Quran
""Say: Whoever is an enemy to Gabriel-for he brings down the (revelation) to thy heart by Allah�s will""
 where its mention in the Holy quran?",(Quran 2:97)
100,"This is a verse from the Holy Quran
""Whoever is an enemy to Allah and His angels and messengers""
 where its mention in the Holy quran?",(Quran 2:98)
101,"This is a verse from the Holy Quran
""We have sent down to thee Manifest Signs (ayat); and none reject them but those who are perverse.""
 where its mention in the Holy quran?",(Quran 2:99)
102,"This is a verse from the Holy Quran
""Is it not (the case) that every time they make a covenant""
 where its mention in the Holy quran?",(Quran 2:100)
103,"This is a verse from the Holy Quran
""And when there came to them a messenger from Allah""
 where its mention in the Holy quran?",(Quran 2:101)
